vote_time,vote_option,vote_rank,user_id,username,name,trust_level,vote_option_full
2025-04-10 10:34:41 UTC,1826,3,8,CptJeanLuc,CptJeanLuc,2,Sloggers!
2025-04-10 07:58:36 UTC,1826,3,20,Bhijn,Bhijn,4,Sloggers!
2025-04-10 07:55:26 UTC,1826,0,23,nikthechampiongr,nikthechampiongr,4,Sloggers!
2025-04-10 08:11:47 UTC,1826,1,25,Simyon,Simyon,2,Sloggers!
2025-04-10 07:59:12 UTC,1826,1,990,Errant,Errant,2,Sloggers!
2025-04-10 12:24:19 UTC,1826,3,1418,AjexRose,AjexRose,2,Sloggers!
2025-04-10 08:09:06 UTC,1826,3,1675,Ubaser,Ubaser,2,Sloggers!
2025-04-10 08:54:10 UTC,1826,2,2474,SlamBamActionman,SlamBamActionman,2,Sloggers!
2025-04-10 10:17:27 UTC,1826,0,2728,samuka,samuka,2,Sloggers!
2025-04-10 08:22:54 UTC,1826,1,3722,Slartibartfast,Slartibartfast,2,Sloggers!
2025-04-10 08:45:57 UTC,1826,3,4095,Minemoder,Minemoder,2,Sloggers!
2025-04-10 07:58:48 UTC,1826,2,5269,ScarKy0,ScarKy0,2,Sloggers!
2025-04-10 10:34:41 UTC,1827,1,8,CptJeanLuc,CptJeanLuc,2,wawawawa
2025-04-10 07:58:36 UTC,1827,2,20,Bhijn,Bhijn,4,wawawawa
2025-04-10 07:55:26 UTC,1827,3,23,nikthechampiongr,nikthechampiongr,4,wawawawa
2025-04-10 08:11:47 UTC,1827,2,25,Simyon,Simyon,2,wawawawa
2025-04-10 07:59:12 UTC,1827,0,990,Errant,Errant,2,wawawawa
2025-04-10 12:24:19 UTC,1827,2,1418,AjexRose,AjexRose,2,wawawawa
2025-04-10 08:09:06 UTC,1827,1,1675,Ubaser,Ubaser,2,wawawawa
2025-04-10 08:54:10 UTC,1827,1,2474,SlamBamActionman,SlamBamActionman,2,wawawawa
2025-04-10 10:17:27 UTC,1827,1,2728,samuka,samuka,2,wawawawa
2025-04-10 08:22:54 UTC,1827,2,3722,Slartibartfast,Slartibartfast,2,wawawawa
2025-04-10 08:45:57 UTC,1827,1,4095,Minemoder,Minemoder,2,wawawawa
2025-04-10 07:58:48 UTC,1827,1,5269,ScarKy0,ScarKy0,2,wawawawa
2025-04-10 10:34:41 UTC,1825,2,8,CptJeanLuc,CptJeanLuc,2,Awawa
2025-04-10 07:58:36 UTC,1825,1,20,Bhijn,Bhijn,4,Awawa
2025-04-10 07:55:26 UTC,1825,1,23,nikthechampiongr,nikthechampiongr,4,Awawa
2025-04-10 08:11:47 UTC,1825,3,25,Simyon,Simyon,2,Awawa
2025-04-10 07:59:12 UTC,1825,0,990,Errant,Errant,2,Awawa
2025-04-10 12:24:19 UTC,1825,1,1418,AjexRose,AjexRose,2,Awawa
2025-04-10 08:09:06 UTC,1825,2,1675,Ubaser,Ubaser,2,Awawa
2025-04-10 08:54:10 UTC,1825,3,2474,SlamBamActionman,SlamBamActionman,2,Awawa
2025-04-10 10:17:27 UTC,1825,2,2728,samuka,samuka,2,Awawa
2025-04-10 08:22:54 UTC,1825,0,3722,Slartibartfast,Slartibartfast,2,Awawa
2025-04-10 08:45:57 UTC,1825,2,4095,Minemoder,Minemoder,2,Awawa
2025-04-10 07:58:48 UTC,1825,3,5269,ScarKy0,ScarKy0,2,Awawa
